CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
Jackson State Community College,Jackson State Community College,"2046 North Pky, Jackson, Tennessee 38301-3797",City: Small,No,16810358.0,3941.0,0.00 ,_,4899,0,270,2,Public,TN,38301,Jackson,Madison County,16300.75,4174.75,0,0,0,0,0.0,20952.75,,
Jackson State University,Jackson State University,"1400 John R. Lynch Street, Jackson, Mississippi 39217",City: Midsize,Yes,37392211.0,8234.0,42549285.00 ,10071.00 ,5152,1868,523,4,Public,MS,39217,Jackson,Hinds County,16163.0,7844.5,0,0,0,0,0.0,23743.5,8270.0,175.0
Jacksonville College ,Jacksonville College-Main Campus,"105 B J Albritton Dr, Jacksonville, Texas 75766-4759",Town: Distant,Yes,2475418.0,9484.0,45500.00 ,1820.00 ,476,0,37,2,Privatenot-for-profit,TX,75766,Jacksonville,Cherokee County,0.0,0.0,0,0,0,0,7975.0,17792.0,,
Jacksonville State University,Jacksonville State University,"700 Pelham Road North, Jacksonville, Alabama 36265",Suburb: Small,Yes,41331145.0,8397.0,27659007.00 ,6193.00 ,7749,1272,494,4,Public,AL,36265,Jacksonville,Calhoun County,16914.5,8886.5,9600,19200,1000,1000,0.0,20784.0,,
Jacksonville University,Chamberlain University-Florida,"5200 Belfort Road, Suite 100, Jacksonville, Florida 32256",City: Large,No,2396771.0,3988.0,7531050.00 ,9630.00 ,952,0,122,4,Privatefor-profit,FL,32256,Jacksonville,Duval County,0.0,0.0,0,0,0,0,19338.75,37812.75,,
James A Rhodes State College,James A Rhodes State College,"4240 Campus Dr, Lima, Ohio 45804",Suburb: Small,No,3731548.0,3302.0,3258681.00 ,4689.00 ,3628,0,201,2,Public,OH,45804,Lima,Allen County,7929.0,3965.0,0,0,0,0,0.0,16307.25,,
James Madison University,James Madison University,"800 South Main Street, Harrisonburg, Virginia 22807",City: Small,Yes,54083399.0,7507.0,45356698.00 ,6210.00 ,19895,1925,1505,4,Public,VA,22807,Harrisonburg,Harrisonburg city,27729.0,11360.5,10848,27888,1128,1128,0.0,26631.0,,
James Sprunt Community College,James Sprunt Community College,"133 James Sprunt Drive, Kenansville, North Carolina 28349",Rural: Distant,No,6266812.0,7569.0,0.00 ,_,1266,0,112,2,Public,NC,28349,Kenansville,Duplin County,8690.0,2546.0,0,0,0,0,0.0,14840.75,,
Jamestown Community College,Jamestown Community College,"525 Falconer St, Jamestown, New York 14701",Town: Distant,Yes,12218487.0,6455.0,4343206.00 ,5146.00 ,4467,0,376,2,Public,NY,14701,Jamestown,Chautauqua County,10602.5,5780.0,0,0,0,0,0.0,19275.0,,
Jarvis Christian College,Jarvis Christian College,"PR 7631,Hwy 80 E, Hawkins, Texas 75765-1470",Rural: Distant,Yes,8752411.0,9693.0,5110595.00 ,6860.00 ,867,0,59,4,Privatenot-for-profit,TX,75765,Hawkins,Wood County,0.0,0.0,0,0,0,0,11720.0,24560.0,,
Jefferson Community and Technical College,Jefferson Community and Technical College,"101 W Broadway, Louisville, Kentucky 40202-2005",City: Large,No,30460831.0,3286.0,11898934.00 ,5277.00 ,12560,0,452,2,Public,KY,40202,Louisville,Jefferson County,14156.0,4238.0,0,0,0,0,0.0,15063.0,,
Jefferson Community College,Jefferson Community College,"1220 Coffeen St, Watertown, New York 13601-1897",City: Small,Yes,9456024.0,5428.0,5655079.00 ,5396.00 ,2984,0,196,2,Public,NY,13601,Watertown,Jefferson County,14156.0,4238.0,0,0,0,0,0.0,21072.0,,
Jefferson State Community College,Jefferson State Community College,"2601 Carson Rd, Birmingham, Alabama 35215-3098",City: Midsize,No,17603737.0,4395.0,8411023.00 ,4627.00 ,8711,0,464,2,Public,AL,35215,Birmingham,Jefferson County,8370.0,4650.0,0,0,0,0,0.0,24825.5,,
Jewish Theological Seminary of America,Jewish Theological Seminary of America,"3080 Broadway, New York, New York 10027-4649",City: Large,Yes,2585716.0,22882.0,203500.00 ,6359.00 ,144,191,78,4,Privatenot-for-profit,NY,10027,New York,New York County,0.0,0.0,0,0,0,0,55808.5,75746.0,32980.0,1570.0
John A Gupton College,John A Gupton College,"1616 Church St, Nashville, Tennessee 37203-2954",City: Large,Yes,369480.0,4798.0,330651.00 ,4863.00 ,164,0,13,2,Privatenot-for-profit,TN,37203,Nashville,Davidson County,0.0,0.0,0,0,0,0,11114.0,21914.0,,
John A Logan College,John A Logan College,"700 Logan College Drive, Carterville, Illinois 62918-2500",Suburb: Small,No,8547332.0,3926.0,0.00 ,_,3744,0,202,2,Public,IL,62918,Carterville,Williamson County,6053.0,5393.0,0,0,0,0,0.0,15803.5,,
John Brown University,John Brown University,"2000 W University St, Siloam Springs, Arkansas 72761",Town: Distant,Yes,24260042.0,17037.0,5407997.00 ,6430.00 ,1777,542,167,4,Privatenot-for-profit,AR,72761,Siloam Springs,Benton County,0.0,0.0,0,0,0,0,26516.0,39306.0,14400.0,0.0
John Carroll University,John Carroll University,"1 John Carroll Boulevard, University Heights, Ohio 44118-4538",Suburb: Large,Yes,76736712.0,26307.0,11312174.00 ,6327.00 ,3017,489,374,4,Privatenot-for-profit,OH,44118,Cleveland,Cuyahoga County,0.0,0.0,0,0,0,0,40682.5,56729.0,16788.0,0.0
John Tyler Community College,John Tyler Community College,"13101 Jefferson Davis Hwy, Chester, Virginia 23831-5316",Suburb: Large,No,9664551.0,3027.0,4061033.00 ,5121.00 ,10152,0,417,2,Public,VA,23831,Chester,Chesterfield County,10609.5,4670.25,0,0,0,0,0.0,18459.75,,
John Wood Community College,John Wood Community College,"1301 S 48th Street, Quincy, Illinois 62305-8736",Rural: Fringe,No,5463992.0,4313.0,2015480.00 ,4325.00 ,1934,0,174,2,Public,IL,62305,Quincy,Adams County,8122.5,8122.5,0,0,0,0,0.0,16047.5,,
Johns Hopkins University,Johns Hopkins University,"3400 N Charles St, Baltimore, Maryland 21218-2688",City: Large,Yes,138181304.0,40594.0,5780108.00 ,3255.00 ,6256,20823,5023,4,Privatenot-for-profit,MD,21218,Baltimore,Baltimore city,0.0,0.0,0,0,0,0,52917.5,70860.5,55350.0,2206.0
Johnson & Wales University ,Johnson & Wales University-North Miami,"1701 NE 127th St, North Miami, Florida 33181",Suburb: Large,Yes,24806424.0,19320.0,7216767.00 ,7195.00 ,1276,33,87,4,Privatenot-for-profit,FL,33181,Miami,Miami-Dade County,0.0,0.0,0,0,0,0,32024.75,47886.0,13734.0,0.0
Johnson & Wales University ,Johnson & Wales University-Online,All programs offered completely via Distance education,City: Midsize,No,1897296.0,4322.0,6402862.00 ,9388.00 ,1070,682,208,4,Privatenot-for-profit,,None,,,0.0,0.0,0,0,0,0,13729.5,24913.5,13734.0,0.0
Johnson & Wales University -Charlotte ,Johnson & Wales University-Charlotte,"Academic Center, 801 West Trade Street, Charlotte, North Carolina 28202",City: Large,Yes,33724563.0,20194.0,10485561.00 ,7267.00 ,1523,0,95,4,"primarilyassociate's,Privatenot-for-profit",NC,28202,Charlotte,Mecklenburg County,0.0,0.0,0,0,0,0,32024.75,49215.0,,
Johnson & Wales University -Denver,Johnson & Wales University-Denver,"7150 Montview Blvd, Denver, Colorado 80220",City: Large,Yes,16531114.0,17605.0,4970066.00 ,6980.00 ,901,26,94,4,Privatenot-for-profit,CO,80220,Denver,Denver County,0.0,0.0,0,0,0,0,32024.75,47910.75,13734.0,0.0
Johnson & Wales University-Online,Johnson & Wales University-Online,All programs offered completely via Distance education,City: Midsize,No,1897296.0,4322.0,6402862.00 ,9388.00 ,1070,682,208,4,Privatenot-for-profit,,None,,,0.0,0.0,0,0,0,0,13729.5,24913.5,13734.0,0.0
Johnson C Smith University,Johnson C Smith University,"100 Beatties Ford Road, Charlotte, North Carolina 28216-5398",City: Large,Yes,17262549.0,12455.0,10045894.00 ,7885.00 ,1435,59,156,4,Privatenot-for-profit,NC,28216,Charlotte,Mecklenburg County,0.0,0.0,0,0,0,0,18373.0,32435.5,17798.0,0.0
Johnson College,Johnson College,"3427 N Main Ave, Scranton, Pennsylvania 18508-1495",City: Small,No,2614319.0,7491.0,2296688.00 ,6735.00 ,480,0,79,2,Privatenot-for-profit,PA,18508,Scranton,Lackawanna County,0.0,0.0,0,0,0,0,18884.5,32004.5,,
Johnson County Community College,Johnson County Community College,"12345 College Blvd, Overland Park, Kansas 66210-1299",City: Midsize,No,14223552.0,2767.0,7099302.00 ,4256.00 ,18278,0,861,2,Public,KS,66210,Overland Park,Johnson County,6622.5,3315.0,0,0,0,0,0.0,22815.5,,
Johnson University,Johnson University,"7900 Johnson Dr, Knoxville, Tennessee 37998",Rural: Fringe,Yes,5010228.0,7708.0,3130611.00 ,6495.00 ,725,312,114,4,Privatenot-for-profit,TN,37998,Knoxville,Knox County,0.0,0.0,0,0,0,0,15462.5,25764.0,10350.0,320.0
Johnson University Florida,Johnson University Florida,"1011 Bill Beck Blvd, Kissimmee, Florida 34744",Suburb: Large,Yes,1839336.0,9384.0,838546.00 ,6258.00 ,182,0,28,4,Privatenot-for-profit,FL,34744,Kissimmee,Osceola County,0.0,0.0,0,0,0,0,15490.0,25009.5,10350.0,200.0
Johnston Community College,Johnston Community College,"245 College Road, Smithfield, North Carolina 27577-2350",Rural: Fringe,No,7362665.0,5450.0,0.00 ,_,4054,0,337,2,Public,NC,27577,Smithfield,Johnston County,8769.0,2625.0,0,0,0,0,0.0,18864.5,,
Joliet Junior College,Joliet Junior College,"1215 Houbolt Rd, Joliet, Illinois 60431-8938",Suburb: Large,No,14031182.0,3264.0,4092533.00 ,4604.00 ,14318,0,841,2,Public,IL,60431,Joliet,Will County,12441.75,11694.5,0,0,0,0,0.0,16263.0,,
Jones College,Jones County Junior College,"900 South Court Street, Ellisville, Mississippi 39437",Town: Distant,Yes,15872847.0,5617.0,2207212.00 ,4212.00 ,4536,0,171,2,Public,MS,39437,Ellisville,Jones County,5447.5,3447.5,0,0,0,0,0.0,12228.0,,
Jones Technical Institute,Sunstate Academy-Jones Technical Institute,"8813 Western Way, Jacksonville, Florida 32256-0367",City: Large,No,1602266.0,9001.0,1183507.00 ,7786.00 ,320,0,35,2,Privatenot-for-profit,FL,32256,Jacksonville,Duval County,0.0,0.0,0,0,0,0,13379.25,32633.0,,
Judson College ,Judson College,"302 Bibb St, Marion, Alabama 36756",Rural: Remote,Yes,3490275.0,13528.0,1668142.00 ,8969.00 ,250,0,72,4,Privatenot-for-profit,AL,36756,Marion,Perry County,0.0,0.0,0,0,0,0,18080.5,32733.0,,
Judson University ,Judson University,"1151 N State St, Elgin, Illinois 60123-1498",City: Midsize,Yes,14228331.0,16506.0,4726556.00 ,6820.00 ,1046,187,187,4,Privatenot-for-profit,IL,60123,Elgin,Kane County,0.0,0.0,0,0,0,0,29473.5,42985.5,27000.0,500.0
Juilliard School,The Juilliard School,"60 Lincoln Center Plaza, New York, New York 10023-6588",City: Large,Yes,14605358.0,33346.0,981306.00 ,5192.00 ,588,372,330,4,Privatenot-for-profit,NY,10023,New York,New York County,0.0,0.0,0,0,0,0,44240.0,65760.5,47370.0,0.0
Juniata College,Juniata College,"1700 Moore St, Huntingdon, Pennsylvania 16652-2196",Town: Distant,Yes,38765469.0,27242.0,6065271.00 ,6680.00 ,1409,20,158,4,Privatenot-for-profit,PA,16652,Huntingdon,Huntingdon County,0.0,0.0,0,0,0,0,44679.25,59167.0,24800.0,825.0
Kalamazoo College,Kalamazoo College,"1200 Academy St, Kalamazoo, Michigan 49006-3295",City: Small,Yes,49490014.0,34014.0,4481937.00 ,6008.00 ,1286,0,146,4,Privatenot-for-profit,MI,49006,Kalamazoo,Kalamazoo County,0.0,0.0,0,0,0,0,47731.25,60430.5,,
Kalamazoo Valley Community College,Kalamazoo Valley Community College,"6767 West O Ave, Kalamazoo, Michigan 49003-4070",Suburb: Midsize,No,13297112.0,3966.0,6719843.00 ,3918.00 ,7755,0,618,2,Public,MI,49003,Kalamazoo,Kalamazoo County,7537.25,5673.5,0,0,0,0,0.0,12264.75,,
Kankakee Community College,Kankakee Community College,"100 College Drive, Kankakee, Illinois 60901",City: Small,No,5567754.0,4280.0,952213.00 ,4622.00 ,2601,0,221,2,Public,IL,60901,Kankakee,Kankakee County,21518.5,11026.75,0,0,0,0,0.0,16034.0,,
Kansas Christian College,Central Christian College of Kansas,"1200 S Main, McPherson, Kansas 67460-5740",Town: Remote,Yes,6261573.0,9459.0,4447826.00 ,7438.00 ,677,0,68,4,Privatenot-for-profit,KS,67460,Mcpherson,McPherson County,0.0,0.0,0,0,0,0,19237.5,29729.5,,
Kansas City Art Institute,Kansas City Art Institute,"4415 Warwick Blvd, Kansas City, Missouri 64111-1874",City: Large,Yes,15142655.0,22771.0,1893571.00 ,4304.00 ,699,0,114,4,Privatenot-for-profit,MO,64111,Kansas City,Jackson County,0.0,0.0,0,0,0,0,37962.5,54760.0,,
Kansas City Kansas Community College,Kansas City Kansas Community College,"7250 State Ave, Kansas City, Kansas 66112",City: Midsize,Yes,12666769.0,4630.0,3209613.00 ,4769.00 ,5998,0,338,2,Public,KS,66112,Kansas City,Wyandotte County,7277.0,3272.0,0,0,0,0,0.0,20232.0,,
Kansas State University,Kansas State University,"919 Mid-Campus Drive, Anderson Hall, Manhattan, Kansas 66506",City: Small,Yes,76064172.0,6765.0,50157454.00 ,6300.00 ,17210,4509,1547,4,Public,KS,66506,Manhattan,Riley County,3739.5,3019.5,0,0,0,0,0.0,24579.0,,
Kansas Wesleyan University,Kansas Wesleyan University,"100 E. Claflin Ave., Salina, Kansas 67401-6196",Town: Remote,Yes,11788212.0,18448.0,3774617.00 ,6939.00 ,653,63,83,4,Privatenot-for-profit,KS,67401,Salina,Saline County,0.0,0.0,0,0,0,0,29075.0,42374.5,,
Kapiolani Community College,Kapiolani Community College,"4303 Diamond Head Road, Honolulu, Hawaii 96816-4421",City: Large,No,8108951.0,4182.0,2952314.00 ,5508.00 ,6488,0,318,2,Public,HI,96816,Honolulu,Honolulu County,8285.0,3149.0,0,0,0,0,0.0,22378.5,,
Kaskaskia College,Kaskaskia College,"27210 College Rd, Centralia, Illinois 62801",Rural: Fringe,No,6852537.0,5370.0,0.00 ,_,3248,0,138,2,Public,IL,62801,Centralia,Marion County,12330.0,7530.0,0,0,0,0,0.0,17358.25,,
Kean University,Kean University,"1000 Morris Avenue, Union, New Jersey 07083",Suburb: Large,Yes,48915600.0,7141.0,49820839.00 ,6953.00 ,12120,2189,1391,4,Public,NJ,7083,Union,Union County,19200.0,12230.0,15326,20288,2150,2150,0.0,29837.75,,
Keene State College,Keene State College,"229 Main Street, Keene, New Hampshire 03435-1506",Town: Distant,Yes,26418836.0,8943.0,15654022.00 ,6392.00 ,3378,124,383,4,Public,NH,3435,Keene,Cheshire County,22885.5,14065.0,9720,10620,2052,2052,0.0,27959.5,,
Kehilath Yakov Rabbinical Seminary,Kehilath Yakov Rabbinical Seminary,"340 Illington Road, Ossining, New York 10562",Rural: Fringe,Yes,1599127.0,10590.0,0.00 ,_,150,0,21,4,Privatenot-for-profit,NY,10562,Ossining,Westchester County,0.0,0.0,0,0,0,0,9775.0,14200.0,,
Keiser University -Ft Lauderdale,Keiser University-Ft Lauderdale,"1500 NW 49th St., Fort Lauderdale, Florida 33309",City: Midsize,No,98698582.0,7015.0,136573725.00 ,11733.00 ,17490,2077,1831,4,"primarilyassociate's,Privatenot-for-profit",FL,33309,Fort Lauderdale,Broward County,0.0,0.0,0,0,0,0,19702.0,40731.5,27162.0,1200.0
Kellogg Community College,Kellogg Community College,"450 North Ave, Battle Creek, Michigan 49017-3397",City: Small,No,14924220.0,6843.0,5342417.00 ,4008.00 ,4223,0,485,2,Public,MI,49017,Battle Creek,Calhoun County,8505.5,6117.75,0,0,0,0,0.0,14521.0,,
Kennebec Valley Community College,Kennebec Valley Community College,"92 Western Ave, Fairfield, Maine 04937-1367",Rural: Fringe,No,6865105.0,3280.0,4738393.00 ,5983.00 ,2406,0,114,2,Public,ME,4937,Fairfield,Somerset County,6585.5,3795.5,0,0,0,0,0.0,17088.75,,
Kennesaw State University,Kennesaw State University,"1000 Chastain Rd, Kennesaw, Georgia 30144",Suburb: Large,Yes,120570169.0,5172.0,94852375.00 ,6318.00 ,34499,3308,1894,4,Public,GA,30144,Kennesaw,Cobb County,17251.0,6302.5,5328,19188,2006,2006,0.0,26143.0,,
Kentucky Christian University,Kentucky Christian University,"100 Academic Pkwy, Grayson, Kentucky 41143-1199",Town: Distant,Yes,6413018.0,13821.0,2144602.00 ,6127.00 ,630,95,91,4,Privatenot-for-profit,KY,41143,Grayson,Carter County,0.0,0.0,0,0,0,0,19417.0,33601.5,4950.0,250.0
Kentucky Mountain Bible College,Kentucky Mountain Bible College,"855 Hwy 541, Jackson, Kentucky 41339",Rural: Distant,Yes,413578.0,6266.0,156117.00 ,5036.00 ,72,0,8,4,Privatenot-for-profit,KY,41339,Jackson,Breathitt County,0.0,0.0,0,0,0,0,8610.0,16585.0,,
Kentucky State University,Kentucky State University,"400 East Main Street, Frankfort, Kentucky 40601-2355",Town: Distant,Yes,12180626.0,10685.0,5427014.00 ,6618.00 ,2029,142,154,4,Public,KY,40601,Frankfort,Franklin County,17256.0,8029.5,7560,11550,390,390,0.0,17995.75,,
Kentucky Wesleyan College,Kentucky Wesleyan College,"3000 Frederica Street, Owensboro, Kentucky 42301",City: Small,Yes,8247242.0,9936.0,2251752.00 ,4330.00 ,863,0,89,4,Privatenot-for-profit,KY,42301,Owensboro,Daviess County,0.0,0.0,0,0,0,0,25620.0,39718.75,,
Kenyon College,Kenyon College,"Kenyon College, Gambier, Ohio 43022",Town: Distant,Yes,39971019.0,36738.0,2422529.00 ,5016.00 ,1750,0,218,4,Privatenot-for-profit,OH,43022,Gambier,Knox County,0.0,0.0,0,0,0,0,54815.0,70547.5,,
Kettering College,Kettering College,"3737 Southern Blvd, Kettering, Ohio 45429-1299",City: Small,Yes,2466263.0,5844.0,4198933.00 ,11472.00 ,615,200,94,4,Privatenot-for-profit,OH,45429,Dayton,Montgomery County,0.0,0.0,0,0,0,0,12642.0,26473.0,39024.0,1575.0
Kettering University,Kettering University,"1700 University Avenue, Flint, Michigan 48504-6214",City: Small,Yes,34997921.0,19145.0,6992970.00 ,6554.00 ,1799,422,113,4,Privatenot-for-profit,MI,48504,Flint,Genesee County,0.0,0.0,0,0,0,0,42537.5,58500.25,13332.0,0.0
Keuka College,Keuka College,"141 Central Avenue, Keuka Park, New York 14478",Town: Distant,Yes,24764418.0,16532.0,10330740.00 ,7486.00 ,1529,248,200,4,Privatenot-for-profit,NY,14478,Keuka Park,Yates County,0.0,0.0,0,0,0,0,31372.25,48097.75,20372.0,690.0
Keweenaw Bay Ojibwa Community College,Keweenaw Bay Ojibwa Community College,"111 Beartown Road, Baraga, Michigan 49908-0000",Rural: Remote,No,310451.0,4928.0,0.00 ,_,79,0,19,2,Public,MI,49908,Baraga,Baraga County,0.0,0.0,0,0,0,0,3365.0,13300.25,,
Keystone College,Keystone College,"One College Green, La Plume, Pennsylvania 18440-0200",Suburb: Large,Yes,24365703.0,20221.0,10382985.00 ,9271.00 ,1288,76,183,4,Privatenot-for-profit,PA,18440,La Plume,Lackawanna County,0.0,0.0,0,0,0,0,26477.0,41690.0,15600.0,200.0
Kilgore College,Kilgore College,"1100 Broadway, Kilgore, Texas 75662-3299",Town: Fringe,Yes,13206998.0,4764.0,7506989.00 ,6466.00 ,5584,0,344,2,Public,TX,75662,Kilgore,Gregg County,4854.0,3654.0,0,0,0,0,0.0,15745.25,,
King University ,King University,"1350 King College Rd, Bristol, Tennessee 37620-2699",City: Small,Yes,17103338.0,14300.0,9444606.00 ,9055.00 ,1611,357,153,4,Privatenot-for-profit,TN,37620,Bristol,Sullivan County,0.0,0.0,0,0,0,0,29044.5,42624.5,19500.0,0.0
King's College ,The King's College,"56 Broadway, New York, New York 10004",City: Large,Yes,11983905.0,22826.0,2678779.00 ,6631.00 ,544,0,31,4,Privatenot-for-profit,NY,10004,New York,New York County,0.0,0.0,0,0,0,0,35965.0,57744.5,,
King's College ,King's College,"133 N River St, Wilkes-Barre, Pennsylvania 18711-0801",City: Small,Yes,43502655.0,22920.0,10528574.00 ,6560.00 ,2231,288,228,4,Privatenot-for-profit,PA,18711,Wilkes Barre,Luzerne County,0.0,0.0,0,0,0,0,36625.0,53269.5,43786.0,1265.0
King's University,The King's University,"2121 E. Southlake Boulevard, Southlake, Texas 76092",Suburb: Large,No,1186345.0,4410.0,1582273.00 ,8032.00 ,316,294,70,4,Privatenot-for-profit,TX,76092,Southlake,Tarrant County,0.0,0.0,0,0,0,0,14625.0,33791.5,8820.0,810.0
Kirkwood Community College,Kirkwood Community College,"6301 Kirkwood Blvd SW, Cedar Rapids, Iowa 52406-2068",City: Midsize,No,23676916.0,4829.0,21220428.00 ,5300.00 ,13788,0,816,2,Public,IA,52406,Cedar Rapids,Linn County,5885.0,4702.0,0,0,0,0,0.0,16241.25,,
Kirtland Community College,Kirtland Community College,"4800 W 4 Mile Road, Grayling, Michigan 49738",Rural: Distant,No,3324937.0,4161.0,2166468.00 ,5968.00 ,1460,0,51,2,Public,MI,49738,Grayling,Crawford County,8167.5,5737.5,0,0,0,0,0.0,18061.0,,
Kishwaukee College,Kishwaukee College,"21193 Malta Rd, Malta, Illinois 60150-9699",Rural: Fringe,No,7899253.0,5753.0,2135261.00 ,5433.00 ,3060,0,180,2,Public,IL,60150,Malta,DeKalb County,12982.5,8827.5,0,0,0,0,0.0,15619.75,,
Klamath Community College,Klamath Community College,"7390 South Sixth Street, Klamath Falls, Oregon 97603-7121",Town: Remote,No,3870384.0,4714.0,2604000.00 ,6142.00 ,1715,0,96,2,Public,OR,97603,Klamath Falls,Klamath County,6862.5,4171.5,0,0,0,0,0.0,18029.25,,
Knox College,Knox College,"2 E South St, Galesburg, Illinois 61401-9999",Town: Distant,Yes,40893608.0,31578.0,5467091.00 ,6766.00 ,1258,0,141,4,Privatenot-for-profit,IL,61401,Galesburg,Knox County,0.0,0.0,0,0,0,0,45741.25,57382.25,,
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,"15200 Kutztown Rd, Kutztown, Pennsylvania 19530-0730",Town: Fringe,Yes,29200555.0,6154.0,36252469.00 ,6816.00 ,7200,995,449,4,Public,PA,19530,Kutztown,Berks County,14380.75,10366.25,9288,13932,1688,1688,0.0,27152.25,,
Kuyper College,Kuyper College,"3333 East Beltline Ave NE, Grand Rapids, Michigan 49525-9781",Suburb: Large,Yes,1293736.0,11058.0,583617.00 ,7032.00 ,137,6,19,4,Privatenot-for-profit,MI,49525,Grand Rapids,Kent County,0.0,0.0,0,0,0,0,21566.75,31532.0,5400.0,0.0
LE Fletcher Technical Community College,Fletcher Technical Community College,"1407 Highway 311, Schriever, Louisiana 70395",Rural: Fringe,No,6204490.0,4201.0,4596010.00 ,6575.00 ,2304,0,139,2,Public,LA,70395,Schriever,Terrebonne Parish,7489.0,3966.0,0,0,0,0,0.0,17374.0,,
La Roche University,La Roche University,"9000 Babcock Blvd, Pittsburgh, Pennsylvania 15237-5898",Suburb: Large,Yes,17160459.0,16406.0,5549845.00 ,7052.00 ,1241,160,168,4,Privatenot-for-profit,PA,15237,Pittsburgh,Allegheny County,0.0,0.0,0,0,0,0,28187.0,43219.5,18420.0,80.0
La Salle University,La Salle University,"1900 W Olney Ave, Philadelphia, Pennsylvania 19141-1199",City: Large,Yes,60385493.0,17662.0,17136091.00 ,6741.00 ,3665,1268,509,4,Privatenot-for-profit,PA,19141,Philadelphia,Philadelphia County,0.0,0.0,0,0,0,0,33240.0,49516.5,25060.0,570.0
La Sierra University,La Sierra University,"4500 Riverwalk Parkway, Riverside, California 92505-8247",City: Large,Yes,28024700.0,16446.0,8149219.00 ,6924.00 ,1746,413,282,4,Privatenot-for-profit,CA,92505,Riverside,Riverside County,0.0,0.0,0,0,0,0,32517.0,46550.25,13140.0,930.0
Labette Community College,Labette Community College,"200 S 14th, Parsons, Kansas 67357-4201",Town: Remote,No,4105478.0,2891.0,1323483.00 ,5608.00 ,1719,0,130,2,Public,KS,67357,Parsons,Labette County,3605.0,3030.0,0,0,0,0,0.0,15580.0,,
Laboure College,Laboure College,"303 Adams Street, Milton, Massachusetts 02186",Suburb: Large,No,1644242.0,4316.0,5366956.00 ,8533.00 ,988,0,146,4,"primarilyassociate's,Privatenot-for-profit",MA,2186,Milton,Norfolk County,0.0,0.0,0,0,0,0,36519.0,51719.0,,
Lackawanna College,Lackawanna College,"501 Vine St, Scranton, Pennsylvania 18509-3206",City: Small,Yes,9239906.0,7043.0,16110990.00 ,10856.00 ,1991,0,204,4,"primarilyassociate's,Privatenot-for-profit",PA,18509,Scranton,Lackawanna County,0.0,0.0,0,0,0,0,15382.5,29418.0,,
Lafayette College,Lafayette College,"High St, Easton, Pennsylvania 18042-1768",Suburb: Large,Yes,57606704.0,41987.0,3350961.00 ,5047.00 ,2662,0,310,4,Privatenot-for-profit,PA,18042,Easton,Northampton County,0.0,0.0,0,0,0,0,52654.25,70007.75,,
LaGrange College,LaGrange College,"601 Broad Street, Lagrange, Georgia 30240-2999",Town: Distant,Yes,22140922.0,25596.0,4460178.00 ,6789.00 ,872,123,102,4,Privatenot-for-profit,GA,30240,Lagrange,Troup County,0.0,0.0,0,0,0,0,30002.5,45657.5,19825.0,340.0
Lake Erie College,Lake Erie College,"391 W Washington St, Painesville, Ohio 44077-3389",Suburb: Large,Yes,15519049.0,22524.0,3794561.00 ,7066.00 ,833,223,105,4,Privatenot-for-profit,OH,44077,Painesville,Lake County,0.0,0.0,0,0,0,0,31141.5,45148.5,12006.0,918.0
Lake Forest College,Lake Forest College,"555 N Sheridan Road, Lake Forest, Illinois 60045-2399",Suburb: Large,Yes,47572340.0,33082.0,7760484.00 ,7113.00 ,1538,24,182,4,Privatenot-for-profit,IL,60045,Lake Forest,Lake County,0.0,0.0,0,0,0,0,46288.0,59876.25,14512.0,0.0
Lake Land College,Lake Land College,"5001 Lake Land Blvd, Mattoon, Illinois 61938",Town: Distant,No,8924183.0,4643.0,1311995.00 ,3208.00 ,4466,0,207,2,Public,IL,61938,Mattoon,Coles County,13630.75,7828.75,0,0,0,0,0.0,11984.75,,
Lake Michigan College,Lake Michigan College,"2755 East Napier Avenue, Benton Harbor, Michigan 49022-1899",Rural: Fringe,Yes,5977113.0,4605.0,3433088.00 ,3862.00 ,3022,0,205,4,"primarilyassociate's,Public",MI,49022,Benton Harbor,Berrien County,6230.75,6230.75,0,0,0,0,0.0,17758.25,,
Lake Region State College,Lake Region State College,"1801 College Dr N, Devils Lake, North Dakota 58301-1598",Town: Remote,Yes,2512458.0,4627.0,2102341.00 ,6549.00 ,1982,0,45,2,Public,ND,58301,Devils Lake,Ramsey County,0.0,0.0,0,0,0,0,4417.25,15538.5,,
Lake Superior College,Lake Superior College,"2101 Trinity Rd, Duluth, Minnesota 55811-3399",City: Small,No,8392942.0,3812.0,8391604.00 ,5910.00 ,5230,0,210,2,Public,MN,55811,Duluth,St. Louis County,0.0,0.0,0,0,0,0,5187.25,19464.25,,
Lake Superior State University,Lake Superior State University,"650 W Easterday Ave, Sault Ste Marie, Michigan 49783",Town: Remote,Yes,13669759.0,9113.0,6858366.00 ,6286.00 ,1984,0,154,4,Public,MI,49783,Sault Sainte Marie,Chippewa County,0.0,0.0,0,0,0,0,11649.0,24223.5,,
